NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Restaurante Amuarama,4.2,59 comentários,"Av. Deputado Oswaldo Studart, 888 - Fátima, Fortaleza - CE, 60411-260",$$,,restaurante,,,,,-3.7574217,-38.5319387,Fátima,
Caravaggio Cucina&Vino,4.7,229 comentários,"Rua Professor Dias da Rocha, 199 - Meireles, Fortaleza - CE, 60170-310",$$$,"1,5-3,5 horas",restaurante,,,,,,,Meireles,
Lagar Restaurante,4.4,420 comentários,"R. Lauro Maia, 625 - Fátima, Fortaleza - CE, 60055-210",$$,,restaurante,,,,,-3.7460183,-38.5229275,Fátima,
Coco Bambu,4.8,2.234 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$$,,restaurante,,,,,-3.7554302,-38.4887659,Edson Queiroz,
Cozinha Mágica,4.4,89 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Restaurante self-service,15 min,restaurante,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7373082,-38.4970664,Aldeota,
Coco Bambu Sul,4.6,12.189 comentários,"R. República da Armênia, 1154 - Parque Manibura, Fortaleza - CE, 60821-760",$$$,"1,5-3 horas",restaurante,,,,,-3.7917203,-38.48117,Parque Manibura,
Sintra Gourmet,4.8,20 comentários,"R. Joaquim Nabuco, 161 - Meireles, Fortaleza - CE, 60125-120",Restaurante self-service,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7269161,-38.4984941,Meireles,
Nova Casa,4.5,2.960 comentários,"R. Joaquim Nabuco, 1800 - Aldeota, Fortaleza - CE, 60125-055",$$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7410066,-38.5033411,Aldeota,
El Chancho Aldeota,4.6,3.872 comentários,"R. Leonardo Mota, 1477 - Aldeota, Fortaleza - CE, 60170-041",$$,45 min a 2 h,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7390185,-38.4969857,Aldeota,
Divina Comida,4.5,2.920 comentários,"Rua Torres Câmara, 135 - Aldeota, Fortaleza - CE, 60150-060",$$,"30 min a 1,5 h",restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Aldeota,
Vignoli | Silva Jatahy,4.5,1.717 comentários,"Rua Silva Jatahy, 529 - Meireles, Fortaleza - CE, 60165-070",$$$,1-2 horas,restaurante,,,,,-3.7272253,-38.4988596,Meireles,
K-BaB,4.8,702 comentários,"Av. Desembargador Moreira, 90 - Meireles, Fortaleza - CE, 60170-000",$$,"45 min a 1,5 h",restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7270584,-38.4955114,Meireles,
Restaurante Boa Mistura,4.5,102 comentários,"Rua Dom Joaquim, 46 - Centro, Fortaleza - CE, 60110-100",$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7242592,-38.5164822,Centro,
Restaurante Aconchego do Mar,4.3,37 comentários,"Av. Dioguinho, 5810 - Vicente Pinzon, Fortaleza - CE, 60183-706",Restaurante,15-45 min,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Vicente Pinzon,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
Domino's Pizza,4.3,242 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",$$,,restaurante,,,,,,,Papicu,
L'Ô Restaurante,4.7,901 comentários,"Av. Pessoa Anta, 217 - Praia de Iracema, Fortaleza - CE, 60060-440",Restaurante,,restaurante,,,,,,,Praia De Iracema,
Restaurante Fogão150,4.0,231 comentários,"R. Barão de Aracati, 150 - Meireles, Fortaleza - CE, 60115-080",$$,,restaurante,,,,,-3.7230608,-38.50893,Meireles,
Tempero do Mangue,4.4,1.771 comentários,"R. Valdir Bezerra, 100 - Sabiaguaba, Fortaleza - CE, 60835-795",$$$,,restaurante,,,,,,,Sabiaguaba,
La Bella Italia,4.5,1.337 comentários,"Av. Almirante Barroso, 812 - Praia de Iracema, Fortaleza - CE, 60060-440",$$,1-2 horas,restaurante,,,,,-3.7206088,-38.5157466,Praia De Iracema,
Restaurante Caicó Papicu,4.5,1.809 comentários,"R. Eduardo Sabóia, 228 - Papicu, Fortaleza - CE, 60175-145",$$,"30 min a 1,5 h",restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Papicu,
Misaki - Restaurante Japonês Contemporâneo em Fortaleza,4.6,736 comentários,"Shopping Jardins Open Mall Avenida Desembargador Moreira, 1011 Aldeota Fortaleza CE 60170-001, Av. Desembargador Moreira, 1011 - Aldeota, Fortaleza - CE, 60160-230",$$$$,"10 min a 1,5 h",restaurante,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Aldeota,
Restaurante Self Service - Mosaico Restaurante,4.5,294 comentários,"R. Francisco Holanda, 609 - 706 - Dionísio Torres, Fortaleza - CE, 60130-140",$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Dionísio Torres,
Culinária da Van,4.5,3.309 comentários,"R. Waldery Uchôa, 260 - Benfica, Fortaleza - CE, 60020-110",$$,"1-2,5 horas",restaurante,,,,,-3.7440759,-38.5391865,Benfica,
Le Marché,4.5,310 comentários,"Praça Pelotas, 41 - Centro, Fortaleza - CE, 60110-210",Restaurante francês,,restaurante,,,,,,,Centro,
Novos Boêmios,4.7,527 comentários,"R. João Cordeiro, 219 - Meireles, Fortaleza - CE, 60110-355",$$,,restaurante,,,,,-3.7222926,-38.5119037,Meireles,
Aconchego Bistrô Cearense,4.5,120 comentários,"R. Dr. João Moreira, 143 - Centro, Fortaleza - CE, 60030-000",Restaurante,1-2 horas,restaurante,,,,,,,Centro,
Restaurante Mareiro,4.3,53 comentários,"Av. Beira Mar, 2380 - Meireles, Fortaleza - CE, 60165-121",Restaurante,,restaurante,,,,,-3.7255278,-38.4995025,Meireles,
Pasto e Pizzas,4.6,704 comentários,"Av. Júlio Abreu, 160 - Varjota, Fortaleza - CE, 60160-240",Restaurante,1-2 horas,restaurante,,,,,-3.7361909,-38.4875612,Varjota,
Frigideira do Jonny Self Service,4.6,2.259 comentários,"R. Joaquim Nabuco, 1900 - Aldeota, Fortaleza - CE, 60125-055",$$,45 min,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Aldeota,
"Cinco Sentidos Bistrô: Restaurante, Gastronomia, Drinks, Vinhos em Fortaleza CE",4.3,12 comentários,"Rua Professor Dias da Rocha, 579 - Meireles, Fortaleza - CE, 60170-310",Restaurante,"1,5-3 horas",restaurante,,,,,-3.7349318,-38.4911447,Meireles,
Anzio Gastronomia,4.5,517 comentários,"Travessa Acaraú, 39 - Meireles, Fortaleza - CE, 60160-180",$$,,restaurante,,,,,-3.7275798,-38.5118661,Meireles,
Carbone Steakhouse,4.6,532 comentários,"Av. Desembargador Moreira, 1300 - Aldeota, Fortaleza - CE, 60191-156",$$$,"1,5-2,5 horas",restaurante,,,,,-3.7372857,-38.4994708,Aldeota,
Colosso Fortaleza,4.5,716 comentários,"Av. Hermenegildo Sá Cavalcante, s/n - Edson Queiroz, Fortaleza - CE, 60811-665",$$$$,,restaurante,,,,,,,Edson Queiroz,
Mangusta Restaurante e Pizzaria,4.8,77 comentários,"R. da Assunção, 1195 - José Bonifacio, Fortaleza - CE, 60040-230",Restaurante,,restaurante,,,,,-3.7403004,-38.5303471,José Bonifacio,
Churrascaria JP Steakhouse Fortaleza,4.6,3.519 comentários,"Av. Beira Mar, 2500 - Loja 9 - Meireles, Fortaleza - CE, 60165-120",$$$,"1,5-3 horas",restaurante,,,,,,,Meireles,
Domino's Pizza,4.2,764 comentários,"Av. Treze de Maio, 825 - Fátima, Fortaleza - CE, 60040-531",$$,20 min a 1 h,restaurante,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7513709,-38.5273246,Fátima,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
O Capo,4.2,318 comentários,"R. Barão de Aracati, 50 - Praia de Iracema, Fortaleza - CE, 60115-080",Restaurante italiano,,restaurante,,,,,,,Praia De Iracema,
Conimaki,4.2,619 comentários,"Rua Canuto de Aguiar, 1368 - Meireles, Fortaleza - CE, 60160-120",$$$,,restaurante,,,,,-3.732314,-38.4905475,Meireles,
Restaurante Amaral (o goiano),4.1,53 comentários,"Av. César Cals, 953 - Vicente Pinzon, Fortaleza - CE, 60182-035",Restaurante,25 min,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7261622,-38.4615692,Vicente Pinzon,
Zoá Gastrobar,4.7,53 comentários,"R. Visc. de Mauá, 2217 - Dionísio Torres, Fortaleza - CE, 60125-161",Restaurante,45 min a 2 h,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Dionísio Torres,
Pepe nero Bistrô,4.4,366 comentários,"Av. Pres. Castelo Branco, 158 - Centro, Fortaleza - CE",$$,"45 min a 2,5 h",restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Centro,
Mar de Lima,4.8,39 comentários,"Rua Frei Mansueto, 1130 - Varjota, Fortaleza - CE, 60175-070",Restaurante,"1-2,5 horas",restaurante,,,,,-3.7370768,-38.4885524,Varjota,
Restaurante Fiorentina,4.0,65 comentários,"R. Osvaldo Cruz, 8 - Praia de Iracema, Fortaleza - CE, 60125-150",Restaurante,,restaurante,,,,,,,Praia De Iracema,
Barraca da Boa,4.2,7.976 comentários,"Av. Beira Mar, 2571 - Meireles, Fortaleza - CE, 60165-121",$$,,restaurante,,,,,-3.7251279,-38.4980886,Meireles,
Restaurante Sesc João Cordeiro,4.8,144 comentários,"R. João Cordeiro, 933 - Aldeota, Fortaleza - CE, 60110-301",$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7284293,-38.513787,Aldeota,
Restaurante Fortaleza,,,"R. Clodoaldo Arruda, 250 - Cambeba, Fortaleza - CE, 60822-375",,,restaurante,,,,,-3.8136409,-38.4808302,Cambeba,
Bruta Flor,4.6,137 comentários,"R. Antônio Augusto, 806 - Meireles, Fortaleza - CE, 60110-370",$$,"1,5-3 horas",restaurante,,,,,-3.7275256,-38.512748,Meireles,
Restaurante da Boró - Comida Caseira,5.0,2 comentários,"R. dos Aprendizes Marinheiros, 300 - Moura Brasil, Fortaleza - CE, 60015-220",Restaurante de comida caseira,,restaurante,,,,,,,Moura Brasil,
Barraca Terra do Sol,4.5,6.280 comentários,"Av. Clóvis Arrais Maia, 5295 - Praia do Futuro II, Fortaleza - CE, 60182-026",$$,,restaurante,,,,,-3.7402501,-38.4527558,Praia Do Futuro Ii,
Restaurante Frederico,4.4,1.166 comentários,"Rua Dr. José Lourenço, 504 - Meireles, Fortaleza - CE, 60115-280",$$,,restaurante,,,,,-3.728656,-38.5060592,Meireles,
Cantina Primu's,4.1,164 comentários,"R. Guilherme Rocha, 52 - Centro, Fortaleza - CE, 60030-140",$,,restaurante,,,,,,,Centro,
Chale Suíça Carnes e Fondue,4.3,127 comentários,"R. Pereira Filgueiras, 1645 - Aldeota, Fortaleza - CE, 60160-150",$$$,,restaurante,,,,,-3.729734,-38.5081161,Aldeota,
Nem Restaurante,4.7,43 comentários,"Centro, Fortaleza - CE, 60035-130",Restaurante,,restaurante,,,,,-3.7281287,-38.527412,Centro,
Lagostinne Fortaleza,4.4,181 comentários,"Rua Frei Mansueto, 1225 - Varjota, Fortaleza - CE, 60175-157",Restaurante japonês,"1,5-2,5 horas",restaurante,,,,,-3.7351816,-38.4884439,Varjota,
Restaurante Le Pritaf,1.6,10 comentários,"Av. Alberto Nepomuceno, 199 - Centro, Fortaleza - CE, 60055-000",Restaurante,,restaurante,,,,,-3.723429,-38.5239495,Centro,
Restaurante Fanfan,4.6,78 comentários,"R. Meton de Alencar, 522 - Centro, Fortaleza - CE, 60030-160",Restaurante,25 min a 1 h,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7342165,-38.528697,Centro,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
Nhamy Nhamy Mercado Saudável,4.9,19 comentários,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,"20 min a 1,5 h",restaurante,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Cambeba,
De Babo Restaurante,4.6,171 comentários,"Rua do Rosário, 86 - Centro, Fortaleza - CE, 60135-050",Restaurante,,restaurante,,,,,,,Centro,
Costa | Bar e Restaurante,4.5,247 comentários,"R. Costa Barros, 1199 - Aldeota, Fortaleza - CE, 60160-190",$,25 min a 1 h,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.730662,-38.51062,Aldeota,
Restaurante Compasso Gourmet,4.5,356 comentários,"R. Pedro 1, 349 - Centro, Fortaleza - CE, 60035-100",$$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Centro,
Churrascaria Picui Prime Cidade 2000,4.5,1.327 comentários,"R. Andrade Furtado, 2520 - Cidade 2000, Fortaleza - CE, 60191-345",$$,,restaurante,,,,,-3.7496706,-38.4677621,Cidade 2000,
VILLELÔ,,,"Av. da Abolição, 2324 - Meireles, Fortaleza - CE, 60165-080",,,restaurante,,,,,-3.7259756,-38.4999117,Meireles,
Comes e Bebes Restaurante,4.4,138 comentários,"R. Barão do Rio Branco, 783 - Centro, Fortaleza - CE, 60025-060",Restaurante self-service,25 min,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7253368,-38.5276643,Centro,
Zé Tropeiro - Culinária Mineira,4.5,440 comentários,"Rua Isac Meyer, 211 - Meireles, Fortaleza - CE, 60160-200",$$,"1-2,5 horas",restaurante,,,,,-3.7297416,-38.5116421,Meireles,
Zé Tropeiro - Culinária Mineira,4.5,440 comentários,"Rua Isac Meyer, 211 - Meireles, Fortaleza - CE, 60160-200",$$,"1-2,5 horas",restaurante,,,,,-3.7297416,-38.5116421,Meireles,
Aki Asian Kitchen,4.5,386 comentários,"R. Leonardo Mota, 753 - Meireles, Fortaleza - CE, 60170-040",Restaurante asiático,"1-2,5 horas",restaurante,,,,,-3.7335922,-38.4951414,Meireles,
Varanda Tropical,4.2,1.171 comentários,"Av. Monsenhor Tabosa, 714 - Praia de Iracema, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,,,Praia De Iracema,
Restaurante O Brazão,4.4,2.972 comentários,"R. João Cordeiro, 43 - Praia de Iracema, Fortaleza - CE, 60110-300",$$,,restaurante,,,,,,,Praia De Iracema,
Grelha Sul Restaurante,4.4,74 comentários,"Av. Borges de Melo, 1643 - Parreão, Fortaleza - CE, 60410-335",Restaurante fast-food,,restaurante,,,,,-3.7550104,-38.5360998,Parreão,
Ossobuco Self-Service Restaurante e Lanches,4.5,1.139 comentários,"Av. Treze de Maio, 1200 - Sala 1701 - Fátima, Fortaleza - CE, 60040-530",$$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Fátima,
Churrascaria Nativas Grill Fortaleza,4.5,3.043 comentários,"Av. Dom Luís, 1219 - Meireles, Fortaleza - CE, 60160-230",$$,"1,5-3 horas",restaurante,,,,,-3.7350448,-38.4901986,Meireles,
Kina do Feijão Verde - Aldeota,4.6,6.925 comentários,"Rua João Cordeiro, R. Pero Coelho, 1697 - Aldeota, Fortaleza - CE, 60110-301",$$,1-2 horas,restaurante,,,,,,,Aldeota,
Sabará Restaurante,4.5,113 comentários,"R. Floriano Peixoto, nº814 - Centro, Fortaleza - CE, 60025-130",$,,restaurante,,,,,,,Centro,
Le Lis Café e Restaurante.,2.3,6 comentários,"R. Barão de Aracati, 145 - Meireles, Fortaleza - CE, 60115-080",Restaurante,,restaurante,,,,,-3.7266541,-38.5099247,Meireles,
Inhamuns Restaurante,4.7,20 comentários,"R. Ildefonso Albano, 1261 - Aldeota, Fortaleza - CE, 60115-000",Restaurante self-service,,restaurante,,,,,-3.7321896,-38.5126367,Aldeota,
La Marine,4.6,92 comentários,"Av. Pres. Castelo Branco, 400 - Moura Brasil, Fortaleza - CE, 60312-060",Restaurante,,restaurante,,,,,,,Moura Brasil,
Restaurante Kilo & Kilo,4.0,33 comentários,"Rua do Rosário, 120 - Centro, Fortaleza - CE, 60055-090",Restaurante self-service,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7286488,-38.5264326,Centro,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
Baltazar Beira Mar - Baltazar Pizza Express - Barraca Baltazar,4.8,275 comentários,"Av. Beira Mar, 2661 - Meireles, Fortaleza - CE, 60165-121",Restaurante,,restaurante,,,,,,,Meireles,
Bom Pasto,4.4,128 comentários,"R. Rocha Lima, 166 - Centro, Fortaleza - CE, 60135-000",Restaurante self-service,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Centro,
PaellaDonpepe,4.5,107 comentários,"R. Ildefonso Albano, 603 - Meireles, Fortaleza - CE, 60115-000",Restaurante espanhol,,restaurante,,,,,-3.7262067,-38.5107839,Meireles,
Aipos Restaurante,5.0,3 comentários,"Rua Solon Pinheiro, 464 - Centro, Fortaleza - CE, 60050-040",Restaurante,,restaurante,,,,,-3.7343493,-38.5278885,Centro,
Casa do Alfajor,4.3,12 comentários,"R. Dragão do Mar, 10 - Centro, Fortaleza - CE, 60060-390",Restaurante,,restaurante,,,,,-3.7220094,-38.5208686,Centro,
Ryori,4.7,366 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",Restaurante japonês,15 min a 1 h,restaurante,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Edson Queiroz,
Restaurante Cinco Estrelas,4.3,51 comentários,"Mercado São Sebastião - R. Gen. Clarindo de Queiroz, 1745 - Centro, Fortaleza - CE, 60010-690",Restaurante,,restaurante,,,,,-3.7300486,-38.5391596,Centro,
Restaurante e Lanchonete Cartaxo,,,"Rua Bárbara de Alencar, 940 - Centro, Fortaleza - CE, 60140-025",,,restaurante,,,,,-3.7374964,-38.5163879,Centro,
Floresta Bar,4.6,11.702 comentários,"Av. Santos Dumont, 1788 - Aldeota, Fortaleza - CE, 60150-160",$$,"2-3,5 horas",restaurante,,,,,-3.7336903,-38.5079984,Aldeota,
Iracema's Grill,4.1,15 comentários,"R. Xavier de Castro, 72 - Praia de Iracema, Fortaleza - CE, 60060-660",Restaurante,,restaurante,,,,,-3.7214751,-38.5125864,Praia De Iracema,
RESTAURANTE BRITTO'S,4.3,136 comentários,"R. São Paulo, 425 - Centro, Fortaleza - CE, 60030-100",$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.725477,-38.5296194,Centro,
Camarão To Go,4.4,135 comentários,"R. Barão de Aracati, 1473 A - Aldeota, Fortaleza - CE, 60115-081",Restaurante de frutos do mar,,restaurante,,,,,-3.7324896,-38.5117912,Aldeota,
Caravelle,4.3,1.384 comentários,"Av. Luciano Carneiro, 1936 - Vila União, Fortaleza - CE, 60410-691",Restaurante,"25 min a 1,5 h",restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7650248,-38.536862,Vila União,
Restaurante,,,"Avenida Imperador, 880 - Centro, Fortaleza - CE, 60015-050",,,restaurante,,,,,,,Centro,
Hanna's Restaurante | Self Service | Centro,4.4,1.332 comentários,"R. Major Facundo, 736 - Centro, Fortaleza - CE, 60025-100",$$,45 min,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7294498,-38.5285236,Centro,
Picanha do Lessa,4.2,471 comentários,"R. Meton de Alencar, 199 - Centro, Fortaleza - CE, 60035-160",$,30 min a 1 h,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7354228,-38.5259916,Centro,
Pier 95 Bar e Restaurante.,5.0,2 comentários,"R. dos Pacajús, 95 - Praia de Iracema, Fortaleza - CE, 60060-520",Restaurante,,restaurante,,,,,-3.7194324,-38.513769,Praia De Iracema,
Espaço Máxima Buffet \Restaurante,4.2,163 comentários,"R. Carolina Sucupira, 939 - Aldeota, Fortaleza - CE, 60140-120",Restaurante,,restaurante,,,,,-3.7423826,-38.4957675,Aldeota,
Restaurante e lanchonete barraca da amada,5.0,Um comentário,"Shooping Floriano - R. Floriano Peixoto, 176 - Centro, Fortaleza - CE, 60025-130",Restaurante,,restaurante,,,,,,,Centro,
Churrascaria Gheller,4.2,6.678 comentários,"Av. Monsenhor Tabosa, 825 - Praia de Iracema, Fortaleza - CE, 60165-011",$$,,restaurante,,,,,,,Praia De Iracema,
"Orla Praia Club: Restaurante, Barraca de Praia, Drinks, Happy Hour, Fortaleza CE",4.1,114 comentários,"Av. Clóvis Arrais Maia, 3005 - Praia do Futuro, Fortaleza - CE, 60183-694",Restaurante,,restaurante,,,,,-3.7323854,-38.4562478,Praia Do Futuro,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
Estaleiro do Gaúcho,4.1,579 comentários,"Av. Beira Mar, 4436 - Loja 7 e 8 - Mucuripe, Fortaleza - CE, 60165-121",$$,,restaurante,,,,,,,Mucuripe,
Dom Tiziano,4.4,155 comentários,"R. Floriano Peixoto, 799 - Centro, Fortaleza - CE, 60025-131",Restaurante self-service,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7295049,-38.5276935,Centro,
Comida Porreta,4.2,40 comentários,"Av. Almirante Barroso, 668 - Praia de Iracema, Fortaleza - CE, 60060-440",Restaurante self-service,,restaurante,,,,,-3.7206061,-38.5171221,Praia De Iracema,
AQuitanda,4.6,523 comentários,"R. Waldery Uchôa, 230 - Benfica, Fortaleza - CE, 60020-110",Restaurante,1-3 horas,restaurante,,,,,-3.7438535,-38.5389995,Benfica,
Donastela Massas e Recheios,3.7,3 comentários,"R. Major Facundo, 897 - Centro, Fortaleza - CE, 60025-100",Restaurante italiano,,restaurante,,,,,-3.7308965,-38.5287605,Centro,
Mabel Restaurante,4.7,20 comentários,"BR-116, 5271 - Alto da Balança, Fortaleza - CE, 60823-105",Restaurante,,restaurante,,,,,,,Alto Da Balança,
"Seu Conrado Monte Castelo: Restaurante, Cozinha Brasileira, Boteco em Fortaleza CE",4.7,1.367 comentários,"R. Conrado Cabral, 711 - Monte Castelo, Fortaleza - CE, 60325-440",$$,"1-2,5 horas",restaurante,,,,,,,Monte Castelo,
Del Plata Pastas,4.9,128 comentários,"Rua Santa Maria, 2 - José Bonifacio, Fortaleza - CE, 60025-110",Restaurante,"1,5 horas",restaurante,,,,,,,José Bonifacio,
Tropical Restaurante,4.4,91 comentários,"R. da Assunção, 16 - Centro, Fortaleza - CE, 60050-010",$,20-45 min,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7302501,-38.5274071,Centro,
Bom Prato,4.3,412 comentários,"Rua General Bezerril, 503 - Centro, Fortaleza - CE, 60055-100",$$,,restaurante,,,,,-3.7278305,-38.5266191,Centro,
Carneiro do Ordones,4.6,26.480 comentários,"R. Azevedo Bolão, 571 - Parquelândia, Fortaleza - CE, 60450-675",$$,"1-2,5 horas",restaurante,,,,,-3.7351928,-38.5496331,Parquelândia,
Arcos Comidas e Bebidas,4.4,708 comentários,"R. Padre Mororó, 2342 - Farias Brito, Fortaleza - CE, 60015-221",$$,"30 min a 1,5 h",restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.737033,-38.541092,Farias Brito,
Cantina Primu's Self-Service,4.4,219 comentários,"R. Barão do Rio Branco, 1469 - Centro, Fortaleza - CE, 60025-060",$,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7312351,-38.529546,Centro,
Garfo Self-service,4.6,518 comentários,"R. Major Facundo, 259 - Centro, Fortaleza - CE, 60025-100",$$,45 min,restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7253061,-38.5270564,Centro,
Ceará Food,5.0,4 comentários,"R. Gonçalves Lêdo, 1541 - Loja 2 - Centro, Fortaleza - CE, 60110-261",Restaurante de comida caseira,,restaurante,,,,,,,Centro,
Mandir.amor Restaurante Vegano,4.8,1.904 comentários,"Rua Padre Francisco Pinto, 257 - Benfica, Fortaleza - CE, 60020-290",$,25 min a 1 h,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7441125,-38.5396343,Benfica,
Hokkaido,4.3,1.390 comentários,"Rua Torres Câmara, 425 - Meireles, Fortaleza - CE, 60150-060",$$,"45 min a 1,5 h",restaurante,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Meireles,
Barraca marisol,4.3,99 comentários,"Av. Rui Barbosa, 50 - Meireles, Fortaleza - CE, 60165-050",Restaurante,1-2 horas,restaurante,,,,,-3.72326,-38.5052958,Meireles,
Rio Restaurante De Praia,4.3,67 comentários,"R. Dr. Bernardo Feitosa, 510 - Edson Queiroz, Fortaleza - CE, 60835-775",$$,,restaurante,,,,,,,Edson Queiroz,
Johnny Rockets,4.5,2.514 comentários,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341",$$,"25 min a 1,5 h",restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7554302,-38.4887659,Edson Queiroz,
Mar de Rosas,4.7,774 comentários,"R. dos Tabajaras, 542 - Praia de Iracema, Fortaleza - CE, 60060-510",$$,"1-2,5 horas",restaurante,,,,,-3.7197787,-38.5150068,Praia De Iracema,
Restaurante Mariano da Picanha,4.0,1.231 comentários,"Av. Monsenhor Tabosa, 1712 - Meireles, Fortaleza - CE, 60165-010",$$,,restaurante,,,,,-3.7247532,-38.5040675,Meireles,
Domino's Pizza,4.0,129 comentários,"Av. Coronel Miguel Dias, 1149 - Guararapes, Fortaleza - CE, 60810-160",$$,25 min,restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7665042,-38.4872258,Guararapes,
Empório Divino Restaurante,4.5,634 comentários,"R. Alberto Magno, 100 - Montese, Fortaleza - CE, 60416-135",$$,"25 min a 1,5 h",restaurante,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7545898,-38.5410511,Montese,
Restaurante Sal & Açúcar,4.3,77 comentários,"R. Olavo Bilac, 125 - Álvaro Weyne, Fortaleza - CE, 60320-000",Restaurante,20 min a 1 h,restaurante,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Álvaro Weyne,
Restaurante Kitanda,4.4,80 comentários,"Av. Tristão Gonçalves, 823 - Centro, Fortaleza - CE, 60015-000",Restaurante,30 min,restaurante,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7290918,-38.5334714,Centro,
Arupemba Restaurante,4.9,7 comentários,"R. dos Tabajaras, 325 - Praia de Iracema, Fortaleza - CE, 60060-510",Restaurante,,restaurante,,,,,-3.7191838,-38.5166927,Praia De Iracema,
